"","Source","Year","Mean","fill","mean_10"
"1","GISTEMP",1880,-0.1725,NA,NA
"2","GISTEMP",1881,-0.0883,NA,NA
"3","GISTEMP",1882,-0.1067,NA,NA
"4","GISTEMP",1883,-0.1742,NA,NA
"5","GISTEMP",1884,-0.2808,NA,NA
"6","GISTEMP",1885,-0.3317,NA,NA
"7","GISTEMP",1886,-0.3158,NA,NA
"8","GISTEMP",1887,-0.3667,NA,NA
"9","GISTEMP",1888,-0.1758,NA,NA
"10","GISTEMP",1889,-0.1092,NA,-0.21217
"11","GISTEMP",1890,-0.3558,NA,-0.2305
"12","GISTEMP",1891,-0.2292,NA,-0.24459
"13","GISTEMP",1892,-0.28,NA,-0.26192
"14","GISTEMP",1893,-0.3192,NA,-0.27642
"15","GISTEMP",1894,-0.3108,NA,-0.27942
"16","GISTEMP",1895,-0.2392,NA,-0.27017
"17","GISTEMP",1896,-0.12,NA,-0.25059
"18","GISTEMP",1897,-0.1175,NA,-0.22567
"19","GISTEMP",1898,-0.2825,NA,-0.23634
"20","GISTEMP",1899,-0.1825,NA,-0.24367
"21","GISTEMP",1900,-0.0867,NA,-0.21676
"22","GISTEMP",1901,-0.16,NA,-0.20984
"23","GISTEMP",1902,-0.2858,NA,-0.21042
"24","GISTEMP",1903,-0.3767,NA,-0.21617
"25","GISTEMP",1904,-0.4775,NA,-0.23284
"26","GISTEMP",1905,-0.2683,NA,-0.23575
"27","GISTEMP",1906,-0.2292,NA,-0.24667
"28","GISTEMP",1907,-0.3933,NA,-0.27425
"29","GISTEMP",1908,-0.43,NA,-0.289
"30","GISTEMP",1909,-0.4867,NA,-0.31942
"31","GISTEMP",1910,-0.4408,NA,-0.35483
"32","GISTEMP",1911,-0.45,NA,-0.38383
"33","GISTEMP",1912,-0.3675,NA,-0.392
"34","GISTEMP",1913,-0.3492,NA,-0.38925
"35","GISTEMP",1914,-0.1567,NA,-0.35717
"36","GISTEMP",1915,-0.1433,NA,-0.34467
"37","GISTEMP",1916,-0.3617,NA,-0.35792
"38","GISTEMP",1917,-0.4617,NA,-0.36476
"39","GISTEMP",1918,-0.2992,NA,-0.35168
"40","GISTEMP",1919,-0.2783,NA,-0.33084
"41","GISTEMP",1920,-0.275,NA,-0.31426
"42","GISTEMP",1921,-0.1908,NA,-0.28834
"43","GISTEMP",1922,-0.2842,NA,-0.28001
"44","GISTEMP",1923,-0.2658,NA,-0.27167
"45","GISTEMP",1924,-0.2708,NA,-0.28308
"46","GISTEMP",1925,-0.2225,NA,-0.291
"47","GISTEMP",1926,-0.1067,NA,-0.2655
"48","GISTEMP",1927,-0.2175,NA,-0.24108
"49","GISTEMP",1928,-0.2,NA,-0.23116
"50","GISTEMP",1929,-0.3583,NA,-0.23916
"51","GISTEMP",1930,-0.1575,NA,-0.22741
"52","GISTEMP",1931,-0.0883,NA,-0.21716
"53","GISTEMP",1932,-0.155,NA,-0.20424
"54","GISTEMP",1933,-0.2817,NA,-0.20583
"55","GISTEMP",1934,-0.1217,NA,-0.19092
"56","GISTEMP",1935,-0.1967,NA,-0.18834
"57","GISTEMP",1936,-0.1442,NA,-0.19209
"58","GISTEMP",1937,-0.0275,NA,-0.17309
"59","GISTEMP",1938,8e-04,NA,-0.15301
